source,class,sample_id,x,y
noise_sigma_0.25,Normal,17,-1.6648011207580566,0.4466898441314697
noise_sigma_0.25,Normal,18,-1.6046874523162842,0.8873898386955261
noise_sigma_0.25,Normal,19,-3.269351005554199,1.7845097780227661
noise_sigma_0.25,Normal,20,-3.0882906913757324,1.9709304571151733
noise_sigma_0.25,Normal,21,-2.463026762008667,1.0911508798599243
noise_sigma_0.25,Normal,22,-2.339179277420044,0.6184482574462891
noise_sigma_0.25,Normal,23,-1.6817727088928223,-0.014409875497221947
noise_sigma_0.25,Normal,24,-2.4977529048919678,1.2218565940856934
noise_sigma_0.25,Normal,25,-2.9373021125793457,1.3300576210021973
noise_sigma_0.25,Normal,26,-3.372701406478882,1.7249550819396973
noise_sigma_0.25,Normal,27,-2.3957676887512207,0.9822286367416382
noise_sigma_0.25,Normal,28,-3.470156192779541,1.3191019296646118
noise_sigma_0.25,Normal,29,-1.5601110458374023,0.20135822892189026
noise_sigma_0.25,STEMI,30,-2.2667994499206543,0.5633975267410278
noise_sigma_0.25,STEMI,31,-1.9232392311096191,1.7086716890335083
noise_sigma_0.25,STEMI,32,-2.569185733795166,1.4427772760391235
noise_sigma_0.25,STEMI,33,-3.321317434310913,1.495686650276184
noise_sigma_0.25,STEMI,34,-2.4113969802856445,0.613825798034668
noise_sigma_0.25,STEMI,35,-2.34877872467041,2.178035259246826
noise_sigma_0.25,STEMI,36,-2.2975616455078125,0.8308972120285034
noise_sigma_0.25,STEMI,37,-3.639644145965576,1.789891004562378
noise_sigma_0.25,STEMI,38,-2.7268106937408447,1.6014567613601685
noise_sigma_0.25,STEMI,39,-4.144159317016602,2.3298392295837402
noise_sigma_0.25,STEMI,40,-3.6850364208221436,2.3250250816345215
noise_sigma_0.25,STEMI,41,-2.9378957748413086,1.7647030353546143
noise_sigma_0.25,STEMI,42,-3.859678030014038,2.3720028400421143
noise_sigma_0.25,STEMI,43,-2.6413652896881104,2.315833330154419
noise_sigma_0.25,STEMI,44,-1.2418886423110962,2.252681255340576
noise_sigma_0.25,STEMI,45,-3.331631898880005,2.5476267337799072
noise_sigma_0.25,STEMI,46,-3.33040189743042,2.106447696685791
noise_sigma_0.25,STEMI,47,-2.9627773761749268,1.1782690286636353
noise_sigma_0.25,STEMI,48,-2.3922793865203857,1.38178288936615
noise_sigma_0.25,STEMI,49,-2.2300682067871094,1.947723388671875
noise_sigma_0.25,STEMI,50,-3.0834736824035645,2.2786643505096436
noise_sigma_0.25,STEMI,51,-2.9705777168273926,1.714231252670288
noise_sigma_0.25,STEMI,52,-2.355778694152832,2.366403341293335
noise_sigma_0.25,STEMI,53,-3.4145729541778564,2.3932950496673584
noise_sigma_0.25,STEMI,54,-3.5448598861694336,2.607818365097046
noise_sigma_0.25,STEMI,55,-3.155315399169922,2.231982469558716
noise_sigma_0.25,STEMI,56,-2.21484112739563,1.2730166912078857
noise_sigma_0.25,STEMI,57,-1.6565849781036377,2.7704005241394043
noise_sigma_0.25,STEMI,58,-2.938194513320923,1.9860349893569946
noise_sigma_0.25,STEMI,59,-2.456895112991333,1.9535784721374512
noise_sigma_0.25,NSTEMI,60,-1.1406950950622559,2.1422622203826904
noise_sigma_0.25,NSTEMI,61,-2.517932176589966,1.7585642337799072
noise_sigma_0.25,NSTEMI,62,-1.9122700691223145,1.5726017951965332
noise_sigma_0.25,NSTEMI,63,-2.231156826019287,1.879387378692627
noise_sigma_0.25,NSTEMI,64,-0.6188229322433472,2.042478561401367
noise_sigma_0.25,NSTEMI,65,-0.18705880641937256,1.0215989351272583
noise_sigma_0.25,NSTEMI,66,-1.4401298761367798,2.4571480751037598
noise_sigma_0.25,NSTEMI,67,-2.021284580230713,1.7637890577316284
noise_sigma_0.25,NSTEMI,68,-0.8700224757194519,1.0719263553619385
noise_sigma_0.25,NSTEMI,69,-1.301684021949768,1.705963373184204
noise_sigma_0.25,NSTEMI,70,-4.118176460266113,2.505044937133789
noise_sigma_0.25,NSTEMI,71,-1.2068521976470947,2.0048696994781494
noise_sigma_0.25,NSTEMI,72,-2.656015157699585,1.905694603919983
noise_sigma_0.25,NSTEMI,73,-0.3006625473499298,1.7021472454071045
noise_sigma_0.25,NSTEMI,74,-1.791933536529541,1.1630995273590088
noise_sigma_0.25,NSTEMI,75,-1.9269193410873413,2.096717119216919
noise_sigma_0.25,NSTEMI,76,3.141497850418091,1.0768131017684937
noise_sigma_0.25,NSTEMI,77,-0.6194369196891785,1.8047536611557007
noise_sigma_0.25,NSTEMI,78,2.657331943511963,-1.1924318075180054
noise_sigma_0.25,NSTEMI,79,-3.187321662902832,2.238395929336548
noise_sigma_0.25,NSTEMI,80,-1.8181462287902832,1.4694472551345825
noise_sigma_0.25,NSTEMI,81,1.2431775331497192,2.2725138664245605
noise_sigma_0.25,NSTEMI,82,-2.391918897628784,2.0996365547180176
noise_sigma_0.25,NSTEMI,83,0.6742122173309326,0.8904283046722412
noise_sigma_0.25,NSTEMI,84,-2.7263972759246826,2.5564346313476562
noise_sigma_0.25,NSTEMI,85,-1.131065011024475,1.8799419403076172
noise_sigma_0.25,NSTEMI,86,-2.790363311767578,2.044389247894287
noise_sigma_0.25,NSTEMI,87,-3.687410593032837,1.803694486618042
noise_sigma_0.25,NSTEMI,88,-2.472691059112549,2.3829503059387207
noise_sigma_0.25,NSTEMI,89,-2.672952175140381,1.8064241409301758
noise_sigma_0.25,AFIB,90,0.8030144572257996,2.2121527194976807
noise_sigma_0.25,AFIB,91,-0.27073609828948975,2.9774515628814697
noise_sigma_0.25,AFIB,92,0.635807454586029,3.2477900981903076
noise_sigma_0.25,AFIB,93,0.17755290865898132,3.273253917694092
noise_sigma_0.25,AFIB,94,-0.02199479378759861,2.8713538646698
noise_sigma_0.25,AFIB,95,-2.3023345470428467,2.502498149871826
noise_sigma_0.25,AFIB,96,-2.3741304874420166,1.8885018825531006
noise_sigma_0.25,AFIB,97,-1.7419779300689697,2.133873224258423
noise_sigma_0.25,AFIB,98,-0.2594536542892456,2.7582614421844482
noise_sigma_0.25,AFIB,99,1.5963084697723389,2.249748706817627
noise_sigma_0.25,AFIB,100,0.7366829514503479,1.3631938695907593
noise_sigma_0.25,AFIB,101,-1.1707608699798584,2.5803892612457275
noise_sigma_0.25,AFIB,102,-3.0095386505126953,2.51011323928833
noise_sigma_0.25,AFIB,103,-1.3134938478469849,1.7729294300079346
noise_sigma_0.25,AFIB,104,-2.4866764545440674,2.308976888656616
noise_sigma_0.25,AFIB,105,0.6767798066139221,2.3834075927734375
noise_sigma_0.25,AFIB,106,1.808884859085083,2.0194644927978516
noise_sigma_0.25,AFIB,107,-3.33538818359375,2.1565277576446533
noise_sigma_0.25,AFIB,108,-2.2874228954315186,2.2340219020843506
noise_sigma_0.25,AFIB,109,-1.5695503950119019,2.324303388595581
noise_sigma_0.25,AFIB,110,-3.1019835472106934,2.3141732215881348
noise_sigma_0.25,AFIB,111,-1.8400959968566895,2.184798240661621
noise_sigma_0.25,AFIB,112,-1.6486003398895264,2.0852508544921875
noise_sigma_0.25,AFIB,113,-2.1400160789489746,1.4322422742843628
noise_sigma_0.25,AFIB,114,-3.1046249866485596,1.9966646432876587
noise_sigma_0.25,AFIB,115,-2.3894553184509277,1.4237653017044067
noise_sigma_0.25,AFIB,116,-0.7467857003211975,2.127060651779175
noise_sigma_0.25,AFIB,117,-2.717745542526245,2.129443645477295
noise_sigma_0.25,AFIB,118,-3.1336634159088135,2.0068211555480957
noise_sigma_0.25,AFIB,119,-3.5024752616882324,1.9258838891983032
noise_sigma_0.5,Normal,0,-0.037599120289087296,1.5800843238830566
noise_sigma_0.5,Normal,1,0.6353267431259155,0.9476694464683533
noise_sigma_0.5,Normal,2,-0.2491392344236374,1.275549054145813
noise_sigma_0.5,Normal,3,1.9583027362823486,-0.05212949588894844
noise_sigma_0.5,Normal,4,0.33638817071914673,0.8972873091697693
noise_sigma_0.5,Normal,5,1.001489520072937,1.1154415607452393
noise_sigma_0.5,Normal,6,1.2369880676269531,0.780171811580658
noise_sigma_0.5,Normal,7,0.5545608997344971,0.9574140906333923
noise_sigma_0.5,Normal,8,-0.2653261423110962,1.389920949935913
noise_sigma_0.5,Normal,9,0.4881177544593811,0.7384300231933594
noise_sigma_0.5,Normal,10,-0.22355374693870544,1.315369725227356
noise_sigma_0.5,Normal,11,-0.15057295560836792,1.3446458578109741
noise_sigma_0.5,Normal,12,0.17446812987327576,1.2881149053573608
noise_sigma_0.5,Normal,13,0.2590775191783905,0.804783284664154
noise_sigma_0.5,Normal,14,0.5392449498176575,0.6518000960350037
noise_sigma_0.5,Normal,15,1.0556575059890747,0.8552770614624023
noise_sigma_0.5,Normal,16,0.3022085726261139,1.3833796977996826
noise_sigma_0.5,Normal,17,1.2903587818145752,0.9459280967712402
noise_sigma_0.5,Normal,18,1.067474365234375,1.155027151107788
noise_sigma_0.5,Normal,19,-0.022406140342354774,1.4127237796783447
noise_sigma_0.5,Normal,20,0.21117179095745087,1.2542846202850342
